Phone timestamp;RR-interval [ms]
2024-04-19T14:45:18.232;1818
2024-04-19T14:45:20.050;604
2024-04-19T14:45:20.654;590
2024-04-19T14:45:21.244;574
2024-04-19T14:45:21.818;1639
2024-04-19T14:45:23.457;527
2024-04-19T14:45:23.984;516
2024-04-19T14:45:24.500;514
2024-04-19T14:45:25.014;508
2024-04-19T14:45:25.522;504
2024-04-19T14:45:26.026;503
2024-04-19T14:45:26.529;500
2024-04-19T14:45:27.029;506
2024-04-19T14:45:27.535;511
2024-04-19T14:45:28.046;512
2024-04-19T14:45:28.558;516
2024-04-19T14:45:29.074;524
2024-04-19T14:45:29.598;520
2024-04-19T14:45:30.118;531
2024-04-19T14:45:30.649;523
2024-04-19T14:45:31.172;529
2024-04-19T14:45:31.701;526
2024-04-19T14:45:32.227;526
2024-04-19T14:45:32.753;521
2024-04-19T14:45:33.274;517
2024-04-19T14:45:33.791;511
2024-04-19T14:45:34.302;507
2024-04-19T14:45:34.809;503
2024-04-19T14:45:35.312;495
2024-04-19T14:45:35.807;496
2024-04-19T14:45:36.303;495
2024-04-19T14:45:36.798;513
2024-04-19T14:45:37.311;549
2024-04-19T14:45:37.860;821
2024-04-19T14:45:38.681;805
2024-04-19T14:45:39.486;773
2024-04-19T14:45:40.259;764
2024-04-19T14:45:41.023;748
2024-04-19T14:45:41.771;681
2024-04-19T14:45:42.452;627
2024-04-19T14:45:43.079;577
2024-04-19T14:45:43.656;563
2024-04-19T14:45:44.219;553
2024-04-19T14:45:44.772;543
2024-04-19T14:45:45.315;536
2024-04-19T14:45:45.851;534
2024-04-19T14:45:46.385;533
2024-04-19T14:45:46.918;526
2024-04-19T14:45:47.444;525
2024-04-19T14:45:47.969;524
2024-04-19T14:45:48.493;526
2024-04-19T14:45:49.019;528
2024-04-19T14:45:49.547;525
2024-04-19T14:45:50.072;528
2024-04-19T14:45:50.600;529
2024-04-19T14:45:51.129;532
2024-04-19T14:45:51.661;532
2024-04-19T14:45:52.193;529
2024-04-19T14:45:52.722;528
2024-04-19T14:45:53.250;530
2024-04-19T14:45:53.780;534
2024-04-19T14:45:54.314;530
2024-04-19T14:45:54.844;528
2024-04-19T14:45:55.372;527
2024-04-19T14:45:55.899;522
2024-04-19T14:45:56.421;520
2024-04-19T14:45:56.941;516
2024-04-19T14:45:57.457;515
2024-04-19T14:45:57.972;511
2024-04-19T14:45:58.483;510
2024-04-19T14:45:58.993;509
2024-04-19T14:45:59.502;517
2024-04-19T14:46:00.019;510
2024-04-19T14:46:00.529;514
2024-04-19T14:46:01.043;512
2024-04-19T14:46:01.555;504
2024-04-19T14:46:02.059;502
2024-04-19T14:46:02.561;500
2024-04-19T14:46:03.061;495
2024-04-19T14:46:03.556;495
