Phone timestamp;HR [bpm];
2024-05-11T14:56:54.770;75
2024-05-11T14:56:55.747;75
2024-05-11T14:56:56.753;74
2024-05-11T14:56:57.736;75;18,3
2024-05-11T14:56:58.743;75;18,5
2024-05-11T14:56:59.764;76;17,2
2024-05-11T14:57:00.737;76;17,7
2024-05-11T14:57:01.732;77;17,2
2024-05-11T14:57:02.743;77;19,4
2024-05-11T14:57:03.755;78;19,7
2024-05-11T14:57:04.734;78;19,0
2024-05-11T14:57:05.795;78;19,3
2024-05-11T14:57:06.772;78;19,0
2024-05-11T14:57:07.743;77;21,5
2024-05-11T14:57:08.766;76;20,8
2024-05-11T14:57:09.755;75;20,3
2024-05-11T14:57:10.733;74;23,5
2024-05-11T14:57:11.747;73;22,4
2024-05-11T14:57:12.756;73;22,0
2024-05-11T14:57:13.728;74;23,3
2024-05-11T14:57:14.754;74;25,8
2024-05-11T14:57:15.742;75;25,3
2024-05-11T14:57:16.755;76;24,9
2024-05-11T14:57:17.747;78;26,5
2024-05-11T14:57:18.757;79;29,3
2024-05-11T14:57:19.734;78;29,2
2024-05-11T14:57:20.750;78;29,2
2024-05-11T14:57:21.739;77;29,0
2024-05-11T14:57:22.775;76;28,8
2024-05-11T14:57:23.765;75;29,4
2024-05-11T14:57:24.743;75;29,3
2024-05-11T14:57:25.739;75;29,2
2024-05-11T14:57:26.765;76;28,5
2024-05-11T14:57:27.755;76;28,5
2024-05-11T14:57:28.734;76;28,2
2024-05-11T14:57:29.752;76;26,6
2024-05-11T14:57:30.755;75;27,3
2024-05-11T14:57:31.744;75;27,3
2024-05-11T14:57:32.753;75;25,2
2024-05-11T14:57:33.744;76;25,3
2024-05-11T14:57:34.738;76;25,3
2024-05-11T14:57:35.765;77;25,3
2024-05-11T14:57:36.756;77;23,5
2024-05-11T14:57:37.744;77;20,6
2024-05-11T14:57:38.777;77;20,8
2024-05-11T14:57:39.778;78;18,1
2024-05-11T14:57:40.776;78;11,6
2024-05-11T14:57:41.795;79;11,6
2024-05-11T14:57:42.747;80;11,7
2024-05-11T14:57:43.727;80;11,6
2024-05-11T14:57:44.765;81;11,7
2024-05-11T14:57:45.756;81;9,3
2024-05-11T14:57:46.724;81;9,3
2024-05-11T14:57:47.756;82;10,3
2024-05-11T14:57:48.755;82;9,4
2024-05-11T14:57:49.733;81;9,5
2024-05-11T14:57:50.796;81;9,5
2024-05-11T14:57:51.744;80;9,5
2024-05-11T14:57:52.729;79;7,3
2024-05-11T14:57:53.766;78;7,4
2024-05-11T14:57:54.734;78;7,4
2024-05-11T14:57:55.743;77;7,9
2024-05-11T14:57:56.750;76;7,9
2024-05-11T14:57:57.738;76;7,8
2024-05-11T14:57:58.743;76;7,9
2024-05-11T14:57:59.766;76;7,9
2024-05-11T14:58:00.745;76;7,7
2024-05-11T14:58:01.733;76;7,5
2024-05-11T14:58:02.744;75;7,2
2024-05-11T14:58:03.755;75;7,2
2024-05-11T14:58:04.745;75;8,5
2024-05-11T14:58:05.785;75;8,4
2024-05-11T14:58:06.751;75;8,4
2024-05-11T14:58:07.776;76;9,2
2024-05-11T14:58:08.766;76;12,4
2024-05-11T14:58:09.744;76;12,4
2024-05-11T14:58:10.734;75;12,0
2024-05-11T14:58:11.786;75;12,0
