Phone timestamp;HR [bpm];
2024-05-23T22:26:04.161;80
2024-05-23T22:26:05.179;79
2024-05-23T22:26:06.176;78
2024-05-23T22:26:07.168;78;13,5
2024-05-23T22:26:08.180;78;17,8
2024-05-23T22:26:09.185;78;16,4
2024-05-23T22:26:10.173;79;14,9
2024-05-23T22:26:11.188;80;14,5
2024-05-23T22:26:12.167;81;13,9
2024-05-23T22:26:13.156;82;13,4
2024-05-23T22:26:14.197;83;13,0
2024-05-23T22:26:15.218;83;12,6
2024-05-23T22:26:16.165;83;11,8
2024-05-23T22:26:17.226;82;11,5
2024-05-23T22:26:18.187;82;11,6
2024-05-23T22:26:19.175;82;11,1
2024-05-23T22:26:20.186;82;11,7
2024-05-23T22:26:21.169;82;12,4
2024-05-23T22:26:22.176;82;12,2
2024-05-23T22:26:23.197;82;11,7
2024-05-23T22:26:24.206;81;11,5
2024-05-23T22:26:25.164;80;11,6
2024-05-23T22:26:26.189;79;11,4
2024-05-23T22:26:27.216;79;11,4
2024-05-23T22:26:28.166;79;10,8
2024-05-23T22:26:29.183;79;10,6
2024-05-23T22:26:30.171;79;8,5
2024-05-23T22:26:31.236;79;8,6
2024-05-23T22:26:32.257;78;9,9
2024-05-23T22:26:33.170;78;9,7
2024-05-23T22:26:34.162;78;9,6
2024-05-23T22:26:35.189;78;9,3
2024-05-23T22:26:36.205;77;9,3
2024-05-23T22:26:37.164;77;9,2
2024-05-23T22:26:38.217;76;9,2
2024-05-23T22:26:39.168;76;9,2
2024-05-23T22:26:40.165;76;9,7
2024-05-23T22:26:41.194;76;9,8
2024-05-23T22:26:42.219;76;9,4
2024-05-23T22:26:43.167;76;13,1
2024-05-23T22:26:44.190;76;13,3
2024-05-23T22:26:45.166;77;14,0
2024-05-23T22:26:46.163;77;14,4
2024-05-23T22:26:47.194;79;14,2
2024-05-23T22:26:48.171;80;14,9
2024-05-23T22:26:49.175;82;18,3
2024-05-23T22:26:50.229;84;19,0
2024-05-23T22:26:51.182;85;19,0
2024-05-23T22:26:52.166;85;18,9
2024-05-23T22:26:53.184;84;20,5
2024-05-23T22:26:54.187;84;20,4
2024-05-23T22:26:55.177;83;20,5
2024-05-23T22:26:56.198;82;20,5
2024-05-23T22:26:57.172;83;20,7
2024-05-23T22:26:58.177;83;21,2
2024-05-23T22:26:59.196;83;21,2
2024-05-23T22:27:00.177;84;21,3
2024-05-23T22:27:01.167;83;21,5
2024-05-23T22:27:02.177;83;21,1
2024-05-23T22:27:03.217;82;21,0
2024-05-23T22:27:04.175;81;21,0
2024-05-23T22:27:05.215;80;18,3
2024-05-23T22:27:06.176;79;18,3
2024-05-23T22:27:07.189;78;17,8
2024-05-23T22:27:08.196;78;17,6
2024-05-23T22:27:09.186;78;17,7
2024-05-23T22:27:10.158;78;17,1
2024-05-23T22:27:11.178;79;12,5
2024-05-23T22:27:12.188;79;12,3
2024-05-23T22:27:13.161;79;12,7
2024-05-23T22:27:14.196;79;12,7
2024-05-23T22:27:15.175;80;8,7
2024-05-23T22:27:16.217;80;8,7
2024-05-23T22:27:17.196;81;8,6
2024-05-23T22:27:18.168;81;8,2
2024-05-23T22:27:19.207;82;8,3
2024-05-23T22:27:20.182;82;6,8
2024-05-23T22:27:21.176;82;6,8
2024-05-23T22:27:22.177;82;6,2
2024-05-23T22:27:23.196;82;6,1
2024-05-23T22:27:24.174;83;5,9
2024-05-23T22:27:25.169;83;6,0
2024-05-23T22:27:26.178;83;6,9
2024-05-23T22:27:27.186;84;7,1
2024-05-23T22:27:28.167;84;7,0
2024-05-23T22:27:29.186;83;6,7
2024-05-23T22:27:30.186;83;6,4
2024-05-23T22:27:31.180;82;6,6
2024-05-23T22:27:32.184;82;6,4
2024-05-23T22:27:33.177;82;6,3
2024-05-23T22:27:34.164;82;5,7
2024-05-23T22:27:35.226;82;6,6
2024-05-23T22:27:36.186;82;7,3
2024-05-23T22:27:37.166;82;7,1
2024-05-23T22:27:38.244;81;7,1
