Phone timestamp;HR [bpm];
2024-05-24T23:31:45.018;72
2024-05-24T23:31:46.086;72
2024-05-24T23:31:47.037;72
2024-05-24T23:31:48.036;71;13,1
2024-05-24T23:31:49.045;71;17,1
2024-05-24T23:31:50.062;71;16,0
2024-05-24T23:31:51.068;72;21,0
2024-05-24T23:31:52.048;72;19,9
2024-05-24T23:31:53.068;74;19,0
2024-05-24T23:31:54.025;75;21,2
2024-05-24T23:31:55.048;76;30,2
2024-05-24T23:31:56.047;77;29,2
2024-05-24T23:31:57.018;77;28,2
2024-05-24T23:31:58.046;76;29,4
2024-05-24T23:31:59.035;75;31,1
2024-05-24T23:32:00.039;75;30,3
2024-05-24T23:32:01.057;75;31,5
2024-05-24T23:32:02.037;75;31,1
2024-05-24T23:32:03.025;75;30,4
2024-05-24T23:32:04.037;76;30,0
2024-05-24T23:32:05.049;75;29,3
2024-05-24T23:32:06.035;74;28,7
2024-05-24T23:32:07.046;73;28,2
2024-05-24T23:32:08.029;72;27,7
2024-05-24T23:32:09.017;72;27,7
2024-05-24T23:32:10.055;71;27,9
2024-05-24T23:32:11.045;71;27,9
2024-05-24T23:32:12.024;72;29,5
2024-05-24T23:32:13.072;71;29,0
2024-05-24T23:32:14.047;71;29,0
2024-05-24T23:32:15.036;72;30,2
2024-05-24T23:32:16.047;72;32,1
2024-05-24T23:32:17.067;72;32,9
2024-05-24T23:32:18.036;71;32,2
2024-05-24T23:32:19.057;71;28,7
2024-05-24T23:32:20.035;71;28,7
2024-05-24T23:32:21.050;70;29,9
2024-05-24T23:32:22.051;70;30,0
2024-05-24T23:32:23.078;70;28,9
2024-05-24T23:32:24.086;69;26,6
2024-05-24T23:32:25.056;70;26,6
2024-05-24T23:32:26.065;70;27,7
2024-05-24T23:32:27.037;70;27,5
2024-05-24T23:32:28.056;70;27,5
2024-05-24T23:32:29.035;69;27,7
2024-05-24T23:32:30.029;68;29,5
2024-05-24T23:32:31.039;68;29,6
2024-05-24T23:32:32.048;68;29,6
2024-05-24T23:32:33.024;69;29,6
2024-05-24T23:32:34.057;70;29,6
2024-05-24T23:32:35.028;71;30,2
2024-05-24T23:32:36.036;72;30,2
2024-05-24T23:32:37.044;72;28,2
2024-05-24T23:32:38.109;72;28,2
2024-05-24T23:32:39.026;71;28,2
2024-05-24T23:32:40.041;71;23,3
2024-05-24T23:32:41.048;71;22,2
2024-05-24T23:32:42.039;71;22,2
2024-05-24T23:32:43.047;71;22,2
2024-05-24T23:32:44.067;71;21,5
2024-05-24T23:32:45.028;72;24,5
2024-05-24T23:32:46.060;72;23,0
2024-05-24T23:32:47.047;71;23,7
2024-05-24T23:32:48.026;71;23,7
2024-05-24T23:32:49.077;69;23,7
2024-05-24T23:32:50.049;68;23,8
2024-05-24T23:32:51.037;67;22,2
2024-05-24T23:32:52.056;67;22,2
2024-05-24T23:32:53.035;67;22,2
2024-05-24T23:32:54.029;67;21,7
2024-05-24T23:32:55.088;67;20,8
2024-05-24T23:32:56.079;68;19,1
2024-05-24T23:32:57.056;68;19,3
2024-05-24T23:32:58.044;68;19,7
2024-05-24T23:32:59.047;67;19,8
2024-05-24T23:33:00.050;66;19,9
2024-05-24T23:33:01.057;65;19,7
2024-05-24T23:33:02.037;65;18,8
2024-05-24T23:33:03.037;64;19,0
2024-05-24T23:33:04.087;64;20,4
2024-05-24T23:33:05.050;64;20,4
2024-05-24T23:33:06.020;63;20,4
2024-05-24T23:33:07.046;64;20,1
2024-05-24T23:33:08.045;64;20,3
2024-05-24T23:33:09.037;64;20,3
2024-05-24T23:33:10.041;64;20,7
2024-05-24T23:33:11.097;65;20,6
2024-05-24T23:33:12.023;65;17,2
2024-05-24T23:33:13.048;66;17,6
2024-05-24T23:33:14.029;66;16,5
2024-05-24T23:33:15.026;66;16,6
2024-05-24T23:33:16.077;65;17,0
2024-05-24T23:33:17.033;65;15,0
2024-05-24T23:33:18.066;65;14,9
