Phone timestamp;RR-interval [ms]
2024-05-02T17:48:25.526;864
2024-05-02T17:48:26.390;963
2024-05-02T17:48:27.353;960
2024-05-02T17:48:28.313;887
2024-05-02T17:48:29.200;853
2024-05-02T17:48:30.053;843
2024-05-02T17:48:30.896;825
2024-05-02T17:48:31.721;774
2024-05-02T17:48:32.495;754
2024-05-02T17:48:33.249;751
2024-05-02T17:48:34.000;763
2024-05-02T17:48:34.763;803
2024-05-02T17:48:35.566;810
2024-05-02T17:48:36.376;840
2024-05-02T17:48:37.216;876
2024-05-02T17:48:38.092;913
2024-05-02T17:48:39.005;866
2024-05-02T17:48:39.871;815
2024-05-02T17:48:40.686;804
2024-05-02T17:48:41.490;760
2024-05-02T17:48:42.250;753
2024-05-02T17:48:43.003;737
2024-05-02T17:48:43.740;717
2024-05-02T17:48:44.457;727
2024-05-02T17:48:45.184;760
2024-05-02T17:48:45.944;841
2024-05-02T17:48:46.785;894
2024-05-02T17:48:47.679;857
2024-05-02T17:48:48.536;845
2024-05-02T17:48:49.381;792
2024-05-02T17:48:50.173;760
2024-05-02T17:48:50.933;739
2024-05-02T17:48:51.672;687
2024-05-02T17:48:52.359;692
2024-05-02T17:48:53.051;710
2024-05-02T17:48:53.761;723
2024-05-02T17:48:54.484;737
2024-05-02T17:48:55.221;851
2024-05-02T17:48:56.072;892
2024-05-02T17:48:56.964;890
2024-05-02T17:48:57.854;850
2024-05-02T17:48:58.704;824
2024-05-02T17:48:59.528;815
2024-05-02T17:49:00.343;786
2024-05-02T17:49:01.129;758
2024-05-02T17:49:01.887;738
2024-05-02T17:49:02.625;747
2024-05-02T17:49:03.372;781
2024-05-02T17:49:04.153;824
2024-05-02T17:49:04.977;868
2024-05-02T17:49:05.845;877
2024-05-02T17:49:06.722;903
2024-05-02T17:49:07.625;886
2024-05-02T17:49:08.511;856
2024-05-02T17:49:09.367;817
2024-05-02T17:49:10.184;796
2024-05-02T17:49:10.980;781
2024-05-02T17:49:11.761;753
2024-05-02T17:49:12.514;725
2024-05-02T17:49:13.239;736
2024-05-02T17:49:13.975;770
2024-05-02T17:49:14.745;810
2024-05-02T17:49:15.555;840
2024-05-02T17:49:16.395;938
2024-05-02T17:49:17.333;968
2024-05-02T17:49:18.301;915
2024-05-02T17:49:19.216;907
2024-05-02T17:49:20.123;882
2024-05-02T17:49:21.005;843
2024-05-02T17:49:21.848;781
2024-05-02T17:49:22.629;776
2024-05-02T17:49:23.405;773
2024-05-02T17:49:24.178;740
2024-05-02T17:49:24.918;768
2024-05-02T17:49:25.686;847
2024-05-02T17:49:26.533;856
2024-05-02T17:49:27.389;834
2024-05-02T17:49:28.223;864
2024-05-02T17:49:29.087;858
2024-05-02T17:49:29.945;772
2024-05-02T17:49:30.717;774
2024-05-02T17:49:31.491;771
2024-05-02T17:49:32.262;769
2024-05-02T17:49:33.031;715
2024-05-02T17:49:33.746;696
2024-05-02T17:49:34.442;689
2024-05-02T17:49:35.131;703
2024-05-02T17:49:35.834;685
2024-05-02T17:49:36.519;669
2024-05-02T17:49:37.188;693
2024-05-02T17:49:37.881;729
2024-05-02T17:49:38.610;744
2024-05-02T17:49:39.354;741
2024-05-02T17:49:40.095;769
2024-05-02T17:49:40.864;776
2024-05-02T17:49:41.640;769
2024-05-02T17:49:42.409;723
2024-05-02T17:49:43.132;697
2024-05-02T17:49:43.829;706
2024-05-02T17:49:44.535;714
2024-05-02T17:49:45.249;729
2024-05-02T17:49:45.978;757
2024-05-02T17:49:46.735;757
2024-05-02T17:49:47.492;785
2024-05-02T17:49:48.277;854
2024-05-02T17:49:49.131;863
2024-05-02T17:49:49.994;863
2024-05-02T17:49:50.857;843
2024-05-02T17:49:51.700;796
2024-05-02T17:49:52.496;783
2024-05-02T17:49:53.279;777
2024-05-02T17:49:54.056;788
2024-05-02T17:49:54.844;784
2024-05-02T17:49:55.628;791
2024-05-02T17:49:56.419;823
2024-05-02T17:49:57.242;902
2024-05-02T17:49:58.144;905
2024-05-02T17:49:59.049;855
2024-05-02T17:49:59.904;889
2024-05-02T17:50:00.793;901
2024-05-02T17:50:01.694;883
2024-05-02T17:50:02.577;821
2024-05-02T17:50:03.398;801
2024-05-02T17:50:04.199;801
2024-05-02T17:50:05.000;819
2024-05-02T17:50:05.819;825
2024-05-02T17:50:06.644;854
2024-05-02T17:50:07.498;908
2024-05-02T17:50:08.406;934
2024-05-02T17:50:09.340;892
2024-05-02T17:50:10.232;875
2024-05-02T17:50:11.107;881
2024-05-02T17:50:11.988;852
2024-05-02T17:50:12.840;813
2024-05-02T17:50:13.653;809
2024-05-02T17:50:14.462;826
2024-05-02T17:50:15.288;822
2024-05-02T17:50:16.110;843
2024-05-02T17:50:16.953;880
2024-05-02T17:50:17.833;919
2024-05-02T17:50:18.752;909
2024-05-02T17:50:19.661;919
2024-05-02T17:50:20.580;908
2024-05-02T17:50:21.488;901
2024-05-02T17:50:22.389;856
2024-05-02T17:50:23.245;815
2024-05-02T17:50:24.060;785
2024-05-02T17:50:24.845;786
2024-05-02T17:50:25.631;799
2024-05-02T17:50:26.430;839
2024-05-02T17:50:27.269;866
