Phone timestamp;RR-interval [ms]
2024-05-02T10:25:09.590;761
2024-05-02T10:25:10.351;768
2024-05-02T10:25:11.119;965
2024-05-02T10:25:12.084;2946
2024-05-02T10:25:10.735;753
2024-05-02T10:25:11.488;758
2024-05-02T10:25:12.246;739
2024-05-02T10:25:12.985;734
2024-05-02T10:25:13.719;750
2024-05-02T10:25:14.469;750
2024-05-02T10:25:15.219;763
2024-05-02T10:25:15.982;747
2024-05-02T10:25:16.729;747
2024-05-02T10:25:17.476;779
2024-05-02T10:25:18.255;770
2024-05-02T10:25:19.025;764
2024-05-02T10:25:19.789;764
2024-05-02T10:25:20.553;736
2024-05-02T10:25:21.289;707
2024-05-02T10:25:21.996;689
2024-05-02T10:25:22.685;706
2024-05-02T10:25:23.391;724
2024-05-02T10:25:24.115;737
2024-05-02T10:25:24.852;747
2024-05-02T10:25:25.599;784
2024-05-02T10:25:26.383;786
2024-05-02T10:25:27.169;741
2024-05-02T10:25:27.910;757
2024-05-02T10:25:28.667;741
2024-05-02T10:25:29.408;733
2024-05-02T10:25:30.141;694
2024-05-02T10:25:30.835;665
2024-05-02T10:25:31.500;657
2024-05-02T10:25:32.157;649
2024-05-02T10:25:32.806;652
2024-05-02T10:25:33.458;656
2024-05-02T10:25:34.114;693
2024-05-02T10:25:34.807;684
2024-05-02T10:25:35.491;698
2024-05-02T10:25:36.189;713
2024-05-02T10:25:36.902;744
2024-05-02T10:25:37.646;723
2024-05-02T10:25:38.369;700
2024-05-02T10:25:39.069;740
2024-05-02T10:25:39.809;791
2024-05-02T10:25:40.600;844
2024-05-02T10:25:41.444;835
2024-05-02T10:25:42.279;844
2024-05-02T10:25:43.123;888
2024-05-02T10:25:44.011;874
2024-05-02T10:25:44.885;844
2024-05-02T10:25:45.729;868
2024-05-02T10:25:46.597;881
2024-05-02T10:25:47.478;881
2024-05-02T10:25:48.359;805
2024-05-02T10:25:49.164;838
2024-05-02T10:25:50.002;871
2024-05-02T10:25:50.873;878
2024-05-02T10:25:51.751;762
2024-05-02T10:25:52.513;706
2024-05-02T10:25:53.219;728
2024-05-02T10:25:53.947;788
2024-05-02T10:25:54.735;898
2024-05-02T10:25:55.633;894
2024-05-02T10:25:56.527;867
2024-05-02T10:25:57.394;901
2024-05-02T10:25:58.295;918
2024-05-02T10:25:59.213;914
2024-05-02T10:26:00.127;849
2024-05-02T10:26:00.976;813
2024-05-02T10:26:01.789;808
2024-05-02T10:26:02.597;812
2024-05-02T10:26:03.409;809
2024-05-02T10:26:04.218;767
2024-05-02T10:26:04.985;744
2024-05-02T10:26:05.729;784
2024-05-02T10:26:06.513;831
2024-05-02T10:26:07.344;877
2024-05-02T10:26:08.221;863
2024-05-02T10:26:09.084;827
2024-05-02T10:26:09.911;881
2024-05-02T10:26:10.792;896
2024-05-02T10:26:11.688;886
2024-05-02T10:26:12.574;893
2024-05-02T10:26:13.467;818
2024-05-02T10:26:14.285;824
2024-05-02T10:26:15.109;846
2024-05-02T10:26:15.955;872
2024-05-02T10:26:16.827;857
2024-05-02T10:26:17.684;800
2024-05-02T10:26:18.484;816
2024-05-02T10:26:19.300;877
2024-05-02T10:26:20.177;888
2024-05-02T10:26:21.065;893
2024-05-02T10:26:21.958;938
2024-05-02T10:26:22.896;936
2024-05-02T10:26:23.832;920
2024-05-02T10:26:24.752;887
2024-05-02T10:26:25.639;815
2024-05-02T10:26:26.454;831
2024-05-02T10:26:27.285;850
2024-05-02T10:26:28.135;890
2024-05-02T10:26:29.025;881
2024-05-02T10:26:29.906;832
2024-05-02T10:26:30.738;758
2024-05-02T10:26:31.496;722
