Phone timestamp;RR-interval [ms]
2024-05-24T23:27:19.420;817
2024-05-24T23:27:20.237;769
2024-05-24T23:27:21.006;732
2024-05-24T23:27:21.738;696
2024-05-24T23:27:22.434;702
2024-05-24T23:27:23.136;707
2024-05-24T23:27:23.843;738
2024-05-24T23:27:24.581;749
2024-05-24T23:27:25.330;771
2024-05-24T23:27:26.101;771
2024-05-24T23:27:26.872;736
2024-05-24T23:27:27.608;698
2024-05-24T23:27:28.306;718
2024-05-24T23:27:29.024;736
2024-05-24T23:27:29.760;799
2024-05-24T23:27:30.559;838
2024-05-24T23:27:31.397;826
2024-05-24T23:27:32.223;815
2024-05-24T23:27:33.038;818
2024-05-24T23:27:33.856;823
2024-05-24T23:27:34.679;795
2024-05-24T23:27:35.474;799
2024-05-24T23:27:36.273;803
2024-05-24T23:27:37.076;796
2024-05-24T23:27:37.872;764
2024-05-24T23:27:38.636;766
2024-05-24T23:27:39.402;791
2024-05-24T23:27:40.193;772
2024-05-24T23:27:40.965;725
2024-05-24T23:27:41.690;744
2024-05-24T23:27:42.434;771
2024-05-24T23:27:43.205;823
2024-05-24T23:27:44.028;879
2024-05-24T23:27:44.907;864
2024-05-24T23:27:45.771;866
2024-05-24T23:27:46.637;872
2024-05-24T23:27:47.509;854
2024-05-24T23:27:48.363;822
2024-05-24T23:27:49.185;817
2024-05-24T23:27:50.002;854
2024-05-24T23:27:50.856;864
2024-05-24T23:27:51.720;852
2024-05-24T23:27:52.572;867
2024-05-24T23:27:53.439;877
2024-05-24T23:27:54.316;869
2024-05-24T23:27:55.185;837
2024-05-24T23:27:56.022;844
2024-05-24T23:27:56.866;865
2024-05-24T23:27:57.731;892
2024-05-24T23:27:58.623;842
2024-05-24T23:27:59.465;780
2024-05-24T23:28:00.245;744
2024-05-24T23:28:00.989;724
2024-05-24T23:28:01.713;734
2024-05-24T23:28:02.447;781
2024-05-24T23:28:03.228;834
2024-05-24T23:28:04.062;882
2024-05-24T23:28:04.944;871
2024-05-24T23:28:05.815;870
2024-05-24T23:28:06.685;836
2024-05-24T23:28:07.521;763
2024-05-24T23:28:08.284;713
2024-05-24T23:28:08.997;698
2024-05-24T23:28:09.695;709
2024-05-24T23:28:10.404;738
2024-05-24T23:28:11.142;795
2024-05-24T23:28:11.937;848
2024-05-24T23:28:12.785;871
2024-05-24T23:28:13.656;887
2024-05-24T23:28:14.543;882
2024-05-24T23:28:15.425;831
2024-05-24T23:28:16.256;802
2024-05-24T23:28:17.058;800
2024-05-24T23:28:17.858;810
2024-05-24T23:28:18.668;822
2024-05-24T23:28:19.490;818
2024-05-24T23:28:20.308;833
2024-05-24T23:28:21.141;895
2024-05-24T23:28:22.036;955
2024-05-24T23:28:22.991;982
2024-05-24T23:28:23.973;912
2024-05-24T23:28:24.885;889
2024-05-24T23:28:25.774;892
2024-05-24T23:28:26.666;914
2024-05-24T23:28:27.580;909
2024-05-24T23:28:28.489;871
2024-05-24T23:28:29.360;874
2024-05-24T23:28:30.234;907
2024-05-24T23:28:31.141;938
2024-05-24T23:28:32.079;921
2024-05-24T23:28:33.000;878
2024-05-24T23:28:33.878;863
2024-05-24T23:28:34.741;832
2024-05-24T23:28:35.573;819
2024-05-24T23:28:36.392;781
2024-05-24T23:28:37.173;805
2024-05-24T23:28:37.978;852
2024-05-24T23:28:38.830;922
2024-05-24T23:28:39.752;904
2024-05-24T23:28:40.656;914
2024-05-24T23:28:41.570;927
2024-05-24T23:28:42.497;925
2024-05-24T23:28:43.422;853
2024-05-24T23:28:44.275;844
2024-05-24T23:28:45.119;836
2024-05-24T23:28:45.955;832
2024-05-24T23:28:46.787;800
